Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;7;5;2;14.283800000000003;82.91999999999999;0.1722600096478534;0.7142857142857143;14.283800000000003;82.91999999999999;7;5;0.1722600096478534;0.7142857142857143
10;7;3;4;-23.439699999999995;78.49000000000001;-0.2986329468722129;0.42857142857142855;-9.155899999999992;161.41;14;8;-0.0567244904281023;0.5714285714285714
11;8;3;5;-26.869999999999997;85.67;-0.3136453834481148;0.375;-36.02589999999999;247.07999999999998;22;11;-0.1458066213372187;0.5
12;8;4;4;-20.2842;91.66;-0.22129827623827186;0.5;-56.31009999999999;338.74;30;15;-0.16623398476707796;0.5
13;6;3;3;23.472;61.59;0.3811008280565027;0.5;-32.83809999999999;400.33000000000004;36;18;-0.08202757724876973;0.5
14;9;4;5;86.0;90.0;0.9555555555555556;0.4444444444444444;53.16190000000001;490.33000000000004;45;22;0.10842065547692371;0.4888888888888889
15;9;2;7;-53.2663;96.71;-0.5507837865784304;0.2222222222222222;-0.10439999999999117;587.0400000000001;54;24;-0.000177841373671285;0.4444444444444444
16;8;3;5;-20.2946;80.00999999999999;-0.2536507936507937;0.375;-20.39899999999999;667.0500000000001;62;27;-0.030580915973315324;0.43548387096774194
17;8;3;5;-19.12;83.42;-0.22920163030448334;0.375;-39.51899999999999;750.47;70;30;-0.05265900035977453;0.42857142857142855
18;7;3;4;-15.0;70.0;-0.21428571428571427;0.42857142857142855;-54.51899999999999;820.47;77;33;-0.06644849903104318;0.42857142857142855
19;9;3;6;-18.631400000000003;92.36;-0.2017258553486358;0.3333333333333333;-73.15039999999999;912.83;86;36;-0.08013584128479562;0.4186046511627907
20;8;3;5;-17.673599999999997;80.08;-0.22069930069930066;0.375;-90.82399999999998;992.9100000000001;94;39;-0.09147254031080357;0.4148936170212766
21;7;4;3;11.216200000000004;70.46000000000001;0.1591853533919955;0.5714285714285714;-79.60779999999998;1063.3700000000001;101;43;-0.07486368808599074;0.42574257425742573
22;8;5;3;37.184799999999996;81.62;0.4555844155844155;0.625;-42.42299999999999;1144.9900000000002;109;48;-0.03705097861116689;0.44036697247706424
23;9;4;5;-17.799999999999997;90.0;-0.19777777777777775;0.4444444444444444;-60.222999999999985;1234.9900000000002;118;52;-0.04876395760289555;0.4406779661016949
24;9;6;3;41.3986;95.13000000000001;0.4351792284242615;0.6666666666666666;-18.824399999999983;1330.1200000000003;127;58;-0.014152407301596831;0.4566929133858268
25;9;2;7;-55.9436;90.18;-0.6203548458638279;0.2222222222222222;-74.76799999999999;1420.3000000000004;136;60;-0.05264239949306482;0.4411764705882353
26;9;6;3;19.336999999999996;94.3;0.2050583244962884;0.6666666666666666;-55.43099999999999;1514.6000000000004;145;66;-0.036597781592499656;0.45517241379310347
27;9;2;7;-54.2;90.0;-0.6022222222222222;0.2222222222222222;-109.631;1604.6000000000004;154;68;-0.06832294652872989;0.44155844155844154
28;7;2;5;-41.65;74.75;-0.557190635451505;0.2857142857142857;-151.281;1679.3500000000004;161;70;-0.09008306785363383;0.43478260869565216
29;7;4;3;-1.5200000000000031;70.42;-0.021584777051973914;0.5714285714285714;-152.80100000000002;1749.7700000000004;168;74;-0.08732633431822467;0.44047619047619047
30;8;4;4;2.8470000000000013;83.65;0.0340346682606097;0.5;-149.954;1833.4200000000005;176;78;-0.0817892245093868;0.4431818181818182
31;6;5;1;32.127399999999994;64.99;0.4943437451915679;0.8333333333333334;-117.82660000000001;1898.4100000000005;182;83;-0.06206593939138541;0.45604395604395603
32;7;1;6;-47.2;70.0;-0.6742857142857144;0.14285714285714285;-165.02660000000003;1968.4100000000005;189;84;-0.08383751352614546;0.4444444444444444
33;6;3;3;-13.068499999999998;62.239999999999995;-0.20996947300771207;0.5;-178.09510000000003;2030.6500000000005;195;87;-0.0877034939551375;0.4461538461538462
34;4;2;2;-10.680799999999998;41.31;-0.258552408617768;0.5;-188.77590000000004;2071.9600000000005;199;89;-0.09110981872236916;0.4472361809045226
