Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;5;4;1;14.855700000000002;61.5;0.24155609756097565;0.8;14.855700000000002;61.5;5;4;0.24155609756097565;0.8
10;8;4;4;-14.2188;94.92999999999999;-0.1497819445907511;0.5;0.6369000000000025;156.43;13;8;0.004071469666943697;0.6153846153846154
11;9;6;3;6.097699999999998;103.55;0.05888652824722355;0.6666666666666666;6.7346;259.98;22;14;0.025904300330794675;0.6363636363636364
12;8;2;6;-53.379999999999995;84.88000000000001;-0.6288878416588123;0.25;-46.645399999999995;344.86;30;16;-0.13525894565910804;0.5333333333333333
13;8;5;3;15.63199999999999;84.22999999999999;0.18558708298705914;0.625;-31.013400000000004;429.09000000000003;38;21;-0.0722771446549675;0.5526315789473685
14;5;2;3;-8.265700000000004;56.14;-0.1472337014606342;0.4;-39.27910000000001;485.23;43;23;-0.08094944665416401;0.5348837209302325
15;8;6;2;28.281000000000002;83.23;0.33979334374624537;0.75;-10.998100000000004;568.46;51;29;-0.019347183618900192;0.5686274509803921
16;8;5;3;-2.9563000000000024;84.02;-0.03518567007855276;0.625;-13.954400000000007;652.48;59;34;-0.021386709171162345;0.576271186440678
17;6;2;4;-24.35;65.85;-0.36977980258162496;0.3333333333333333;-38.30440000000001;718.33;65;36;-0.05332423816351817;0.5538461538461539
18;7;3;4;-23.47;74.97;-0.3130585567560357;0.42857142857142855;-61.77440000000001;793.3000000000001;72;39;-0.07787016261187445;0.5416666666666666
19;7;3;4;-7.859999999999999;72.64;-0.10820484581497797;0.42857142857142855;-69.6344;865.94;79;42;-0.08041480934013903;0.5316455696202531
20;7;6;1;29.8002;74.95;0.3976010673782522;0.8571428571428571;-39.834199999999996;940.8900000000001;86;48;-0.04233672374028844;0.5581395348837209
21;5;2;3;-13.901299999999999;51.83;-0.2682095311595601;0.4;-53.735499999999995;992.7200000000001;91;50;-0.05412956322024336;0.5494505494505495
22;8;6;2;102.98930000000001;83.7;1.2304575866188772;0.75;49.25380000000002;1076.42;99;56;0.04575704650601068;0.5656565656565656
23;5;2;3;-20.733999999999998;51.089999999999996;-0.4058328440007829;0.4;28.51980000000002;1127.51;104;58;0.02529449849668741;0.5576923076923077
24;8;4;4;-4.401400000000002;82.23;-0.05352547731971303;0.5;24.11840000000002;1209.74;112;62;0.019936845933837037;0.5535714285714286
25;4;3;1;22.7664;40.56999999999999;0.5611634212472272;0.75;46.88480000000002;1250.31;116;65;0.03749854036199025;0.5603448275862069
26;6;4;2;11.555100000000003;63.03;0.18332698714897672;0.6666666666666666;58.43990000000002;1313.34;122;69;0.044497159912893866;0.5655737704918032
27;6;4;2;5.625200000000003;62.76;0.08963033779477379;0.6666666666666666;64.06510000000003;1376.1;128;73;0.04655555555555558;0.5703125
28;8;4;4;-4.151700000000002;83.8;-0.04954295942720766;0.5;59.913400000000024;1459.8999999999999;136;77;0.04103938625933285;0.5661764705882353
29;9;6;3;1.1385999999999967;96.92;0.011747833264548048;0.6666666666666666;61.05200000000002;1556.82;145;83;0.039215837412160705;0.5724137931034483
30;7;4;3;0.3177000000000003;77.11;0.004120088185708732;0.5714285714285714;61.36970000000002;1633.9299999999998;152;87;0.03755956497524376;0.5723684210526315
31;7;6;1;38.14209999999999;79.28999999999999;0.48104552907050063;0.8571428571428571;99.51180000000002;1713.2199999999998;159;93;0.05808465929652936;0.5849056603773585
32;8;4;4;-17.133000000000003;83.84;-0.20435353053435118;0.5;82.37880000000001;1797.0599999999997;167;97;0.04584087342659679;0.5808383233532934
33;9;3;6;-46.092699999999994;94.07;-0.48998299138939083;0.3333333333333333;36.28610000000002;1891.1299999999997;176;100;0.019187522803826296;0.5681818181818182
34;9;7;2;27.532200000000003;93.81;0.2934889670610809;0.7777777777777778;63.81830000000002;1984.9399999999996;185;107;0.03215124890424901;0.5783783783783784
