Gameday;BetsPlaced;Wins;Losses;TotalProfit;TotalInvested;ROI;Winrate;CumulativeProfit;CumulativeInvested;CumulativeBets;CumulativeWins;CumulativeROI;CumulativeWinrate
9;8;7;1;27.286700000000003;89.55;0.3047091010608599;0.875;27.286700000000003;89.55;8;7;0.3047091010608599;0.875
10;5;3;2;-4.4528;56.32;-0.0790625;0.6;22.833900000000003;145.87;13;10;0.15653595667375061;0.7692307692307693
11;7;1;6;-54.3;70.0;-0.7757142857142857;0.14285714285714285;-31.466099999999994;215.87;20;11;-0.14576411729281508;0.55
12;6;2;4;-32.8142;64.89;-0.50568962860225;0.3333333333333333;-64.2803;280.76;26;13;-0.22895106140475852;0.5
13;6;2;4;-32.678;67.64;-0.48311649911295085;0.3333333333333333;-96.9583;348.4;32;15;-0.2782959242250287;0.46875
14;9;2;7;-39.77;90.57;-0.43910787236391746;0.2222222222222222;-136.7283;438.96999999999997;41;17;-0.31147527165865546;0.4146341463414634
15;8;3;5;-16.381;83.61;-0.19592154048558785;0.375;-153.1093;522.5799999999999;49;20;-0.29298729381147387;0.40816326530612246
16;8;4;4;-18.28;80.05;-0.22835727670206124;0.5;-171.3893;602.6299999999999;57;24;-0.2844022036738961;0.42105263157894735
17;9;4;5;-19.92;95.92;-0.20767306088407006;0.4444444444444444;-191.3093;698.5499999999998;66;28;-0.2738662944671105;0.42424242424242425
18;9;7;2;50.5;90.0;0.5611111111111111;0.7777777777777778;-140.8093;788.5499999999998;75;35;-0.17856737049014018;0.4666666666666667
19;9;4;5;-31.751399999999997;99.66000000000001;-0.3185972305839855;0.4444444444444444;-172.5607;888.2099999999998;84;39;-0.19427916821472405;0.4642857142857143
20;9;2;7;-54.60000000000001;90.0;-0.6066666666666668;0.2222222222222222;-227.16070000000002;978.2099999999998;93;41;-0.23222079103668952;0.44086021505376344
21;8;4;4;-0.0237999999999996;81.4;-0.00029238329238328746;0.5;-227.1845;1059.61;101;45;-0.21440388444805167;0.44554455445544555
22;9;5;4;13.265899999999995;92.89;0.14281300462913118;0.5555555555555556;-213.91860000000003;1152.5;110;50;-0.18561266811279828;0.45454545454545453
23;9;6;3;73.5;90.0;0.8166666666666667;0.6666666666666666;-140.41860000000003;1242.5;119;56;-0.11301295774647889;0.47058823529411764
24;8;4;4;9.012599999999999;80.03;0.11261526927402223;0.5;-131.40600000000003;1322.53;127;60;-0.09935956084172007;0.47244094488188976
25;8;3;5;-3.3416000000000032;84.66000000000001;-0.039470824474368095;0.375;-134.74760000000003;1407.19;135;63;-0.09575650764999753;0.4666666666666667
26;9;7;2;47.398;95.25;0.4976167979002625;0.7777777777777778;-87.34960000000004;1502.44;144;70;-0.058138494715263195;0.4861111111111111
27;9;3;6;-37.6748;92.75999999999999;-0.4061535144458819;0.3333333333333333;-125.02440000000004;1595.2;153;73;-0.07837537612838517;0.477124183006536
28;7;4;3;78.13090000000001;75.25999999999999;1.0381464257241566;0.5714285714285714;-46.89350000000003;1670.46;160;77;-0.02807220765537638;0.48125
29;9;5;4;-4.1805;98.04999999999998;-0.04263640999490057;0.5555555555555556;-51.074000000000034;1768.51;169;82;-0.028879678373319933;0.48520710059171596
30;8;4;4;73.3207;82.81;0.8854087670571187;0.5;22.24669999999997;1851.32;177;86;0.012016669187390602;0.4858757062146893
31;9;3;6;-49.57500000000001;97.15;-0.5102933607822955;0.3333333333333333;-27.32830000000004;1948.47;186;89;-0.01402551745728702;0.478494623655914
32;7;2;5;-7.029999999999999;70.83;-0.09925172949315261;0.2857142857142857;-34.35830000000004;2019.3;193;91;-0.01701495567771012;0.47150259067357514
33;8;3;5;-22.9256;82.35;-0.27839222829386767;0.375;-57.283900000000045;2101.65;201;94;-0.027256631694145095;0.46766169154228854
34;7;4;3;19.300000000000004;70.0;0.2757142857142858;0.5714285714285714;-37.98390000000004;2171.65;208;98;-0.017490801924803737;0.47115384615384615
